lat,long,aptos_por_local,local_de_votacao,zona_eleitoral_nro,bairro,endereco,secoes_eleitorais,zona_eleitoral_nome,secao,PT,PMDB,PSDB,PSD
-46.773384,-23.67371,2316.0,EMEI. ANÍSIO TEIXEIRA,373.0,JARDIM SAO JOSE,"AVENIDA COMENDADOR SANTANA, 753, São Paulo",Da 458ª à 459ª; 474ª; 486ª; 493ª; 498ª; 504ª;,CAPÃO REDONDO,3372.0,340.0,121.0,147.0,79.0
-46.643761,-23.67321,5216.0,EM. DOUTOR HABIB CARLOS KYRILLOS,351.0,AMERICANÓPOLIS,"RUA RIO GRANDE DO NORTE, S/N, São Paulo",Da 48ª à 60ª; 695ª;,CIDADE ADEMAR,1397.0,881.0,251.0,482.0,273.0
-46.639091,-23.67297,6975.0,EE. PROFESSORA EDMÉA ATTAB,320.0,VL STA MARGARIDA,"RUA OLIVÉRIO GIRONDO, 127, São Paulo",362ª; 369ª; 374ª; 380ª; 383ª; 391ª; 396ª; 405ª; 411ª; 416ª; 419ª; 453ª; 462ª; 467ª; 474ª; 479ª; 485ª; 491ª;,JABAQUARA,7617.0,1289.0,167.0,611.0,244.0
-46.768341,-23.672819,3977.0,EE. REVERENDO PROF. MANOEL DA SILVEIRA PORTO FILHO,373.0,JARDIM MODELO,"RUA SIMAO ALVES DE ALMEIDA, S/N, São Paulo",339ª; 343ª; 347ª; 349ª; 353ª; 357ª; 362ª; 373ª; 385ª; 451ª; 471ª; 616ª;,CAPÃO REDONDO,4746.0,591.0,134.0,274.0,128.0
-46.743885,-23.672554,4996.0,EMEF BACHAREL MARIO MOURA DE ALBUQUERQUE,372.0,CHACARA SANTANA,"RUA HUMBERTO DE ALMEIDA, 69, São Paulo",Da 8ª à 19ª; 177ª;,PIRAPORINHA,339.0,663.0,206.0,377.0,152.0
-46.656841,-23.67231,4275.0,COLÉGIO SÃO FRANCISCO DE ASSIS,351.0,CIDADE ADEMAR,"RUA PROFESSOR LUIS PARDINI, 104, São Paulo",650ª; 653ª; Da 657ª à 658ª; 661ª; 664ª; 666ª; 669ª; 671ª; 705ª; 721ª; 729ª;,CIDADE ADEMAR,8104.0,471.0,207.0,300.0,261.0
-46.71575900000001,-23.671881,4639.0,EE . PROF. ITÚRBIDES BOLIVAR DE ALMEIDA SERRA,280.0,SOCORRO,"AVENIDA DE PINEDO, 777, São Paulo",Da 1ª à 8ª; 538ª; 568ª; 587ª; 616ª;,CAPELA DO SOCORRO,2345.0,421.0,233.0,414.0,502.0
-46.75450900000001,-23.671841,5545.0,EE. MONSENHOR JOÃO BATISTA DE CARVALHO,372.0,JARDIM THOMAZ,"RUA CRISTIANIA, 13, São Paulo",309ª; 328ª; 337ª; 357ª; 376ª; 397ª; 400ª; 428ª; 457ª; 477ª; 502ª; 536ª; 558ª; 586ª;,PIRAPORINHA,6048.0,669.0,179.0,294.0,149.0
-46.675812,-23.671570000000006,2407.0,CIEJA - CENTRO INTEGRADO DE EDUCAÇÃO DE JOVENS E ADULTOS,418.0,JARDIM CONSÓRCIO,"RUA FRANCISCO RAMOS, 132, São Paulo",368ª; 372ª; 392ª; 403ª; 407ª; 424ª;,PEDREIRA,2366.0,200.0,130.0,214.0,263.0
-46.67664,-23.671478,5822.0,EE. CONDE PEREIRA CARNEIRO,418.0,JARDIM CONSÓRCIO,"AVENIDA JOÃO PEIXOTO VIEGAS, 441, São Paulo",Da 6ª à 19ª.,PEDREIRA,175.0,535.0,338.0,715.0,590.0
