aptos_por_local,bairro,endereco,lat,local_de_votacao,long,secoes_eleitorais,zona_eleitoral_nome,zona_eleitoral_nro
5359,JARDIM BRASIL,"RUA DORÂNDIA, 158, São Paulo",-23.477671,ESCOLA ESTADUAL PROVÍNCIA DE NAGASAKI,-46.571678,Da 219ª à 232ª; 315ª;,VILA SABRINA,420
608,VILA NOVA CURUÇÁ,"RUA GAIVÃO, 177, São Paulo",-23.518352,EE. VILA NOVA CURUÇÁ,-46.420074,745ª; 749ª; 769ª; 779ª;,SÃO MIGUEL PAULISTA,247
5346,ALTO DE PINHEIROS,"AVENIDA PEDROSO DE MORAIS, 1341, São Paulo",-23.560101,COLÉGIO PALMARES,-46.695251,Da 27ª à 38ª; 244ª; 303ª;,PINHEIROS,251
4335,VILA BANDEIRANTES,"RUA ZILDA, 193, São Paulo",-23.498011,EMEF. DONA ANGELINA MAFFEI VITA,-46.661289,Da 158ª à 169ª; 521ª;,CASA VERDE,255
4933,VILA RUBI,"RUA JOAQUIM DOS SANTOS, 539, São Paulo",-23.72488,EE. JERÔNYMO MONTEIRO,-46.698521,Da 377ª à 388ª; 836ª;,CAPELA DO SOCORRO,280
273,JARDIM DA CONQUISTA,"RUA ARGÉLIA, S/N., São Paulo",-23.417179,EMEF RECANTO DOS HUMILDES,-46.746311,412ª; 455ª; 473ª;,PERUS,389
7023,VILA SEABRA,"RUA TIETÊ, 49, São Paulo",-23.490929,EE. MÁRIO KOZEL FILHO,-46.407574,Da 110ª à 127ª.,JARDIM HELENA,397
3611,JARAGUA,"AV. JERIMANDUBA, S/N, São Paulo",-23.45499,EE. PROFA. ISABEL VIEIRA DE SERPA E PAIVA,-46.747452,Da 59ª à 67ª.,JARAGUÁ,403
6510,BELA VISTA,"AV. BRIG. LUÍS ANTÔNIO, 1373, São Paulo",-23.56114,FMU (PRÉDIO 40) - BRIGADEIRO,-46.64381,Da 129ª à 130ª; 359ª; 391ª; 402ª; 409ª; 416ª; 420ª; 424ª; 430ª; 433ª; 437ª; Da 440ª à 441ª; 443ª; Da 446ª à 447ª; 492ª; Da 496ª à 497ª; 508ª;,BELA VISTA,1
8475,BELA VISTA,"AV. BRIGADEIRO LUÍS ANTONIO, 871, São Paulo",-23.5576,ANHANGUERA,-46.640758,Da 50ª à 55ª; Da 113ª à 128ª;,BELA VISTA,1
12691,HIGIENOPOLIS,"AV. HIGIENÓPOLIS, 996, São Paulo",-23.540991,COLÉGIO RIO BRANCO,-46.660751,Da 181ª à 209ª; 364ª; 434ª; 445ª; 450ª;,BELA VISTA,1
10789,LIBERDADE,"AV. LIBERDADE, 532, São Paulo",-23.883535,FECAP - LIBERDADE,-46.641064,Da 260ª à 289ª; 387ª; 404ª; 418ª;,BELA VISTA,1
9239,BELA VISTA,"AV. PAULISTA, 227, São Paulo",-23.56978,EE RODRIGUES ALVES,-46.646458,Da 28ª à 49ª; 363ª; 371ª;,BELA VISTA,1
11090,BELA VISTA,"AV. PAULISTA, 900, São Paulo",-23.56542,COLÉGIO OBJETIVO,-46.651482,Da 1ª à 27ª; 355ª; 361ª;,BELA VISTA,1
72,JARDIM QUISISANA,"RUA JEAN LACOME 78, São Paulo",-23.503552,INTERNATO VILA CONCEIÇÃO,-46.404877,359ª.,JARDIM HELENA,397
12267,LIBERDADE,"AVENIDA DA LIBERDADE, 749, São Paulo",-23.5592,FMU (PRÉDIO 17) - FACULDADE DIREITO LIBERDADE,-46.637508,Da 98ª à 112ª; Da 322ª à 329ª; Da 377ª à 378ª; 381ª; 392ª; 432ª; 452ª; 456ª; 463ª; 465ª; 468ª; 470ª; 472ª; 475ª; 477ª; 486ª;,BELA VISTA,1
8085,LIBERDADE,"AVENIDA LIBERDADE, 899, São Paulo",-23.558969,FMU (PRÉDIO 16) - LIBERDADE,-46.632881,Da 302ª à 321ª; 360ª; Da 365ª à 368ª; 384ª; Da 488ª à 489ª;,BELA VISTA,1
7259,SE,"LARGO SÃO FRANCISCO, 19, São Paulo",-23.549751,FECAP - SÃO FRANCISCO,-46.636658,Da 345ª à 354ª; 357ª; 374ª; 385ª; 395ª; 422ª; 453ª; 455ª; 467ª; 473ª; 478ª;,BELA VISTA,1
6208,SE,"LARGO SÃO FRANCISCO, 95, São Paulo",-23.549706,USP - FACULDADE DE DIREITO,-46.636829,Da 330ª à 344ª; 396ª; 415ª;,BELA VISTA,1
3681,SE,"PRAÇA DR. MÁRIO MARGARIDO, 35, São Paulo",-23.554451,EMEF DUQUE DE CAXIAS,-46.628899,399ª; 411ª; 427ª; 439ª; 442ª; 449ª; 457ª; 459ª; 461ª; 487ª; 491ª; 495ª; 507ª;,BELA VISTA,1
7865,CONSOLACAO,"RUA DA CONSOLAÇÃO, 1289, São Paulo",-23.549851,EE PROFESSORA MARINA CINTRA,-46.653419,Da 210ª à 226ª; 356ª; 369ª; Da 372ª à 373ª;,BELA VISTA,1
3088,CONSOLACAO,"RUA DA CONSOLAÇÃO, 881, São Paulo",-23.548309,PUC COGEAE,-46.649841,462ª; 464ª; 466ª; 469ª; 471ª; 474ª; 476ª; 479ª; 490ª; 504ª;,BELA VISTA,1
5944,BELA VISTA,"RUA HUMAITÁ, 480, São Paulo",-23.55724,EMEF CELSO LEITE RIBEIRO FILHO,-46.642078,Da 56ª à 70ª; 406ª;,BELA VISTA,1
18185,HIGIENOPOLIS,"RUA ITAMBÉ, 135, São Paulo",-23.546341,MACKENZIE,-46.652962,Da 140ª à 180ª; 358ª; 389ª; 398ª; 400ª; 405ª; 412ª; 417ª; 419ª; 423ª; 428ª; 431ª; 435ª; 458ª;,BELA VISTA,1
9422,CONSOLACAO,"RUA JOÃO GUIMARÃES ROSA, 111, São Paulo",-23.54953,EE CAETANO DE CAMPOS,-46.647011,Da 227ª à 251ª.,BELA VISTA,1
6318,BELA VISTA,"RUA JOÃO PASSALACQUA, 207, São Paulo",-23.560801,COLÉGIO JOÃO E RAPHAELA PASSALACQUA,-46.640831,Da 87ª à 97ª; 393ª; 410ª; 421ª; 429ª; 438ª; 460ª;,BELA VISTA,1
3836,BELA VISTA,"RUA MAJOR DIOGO, 200, São Paulo",-23.552891,EE DRA. MARIA AUGUSTA SARAIVA,-46.64333,Da 131ª à 139ª; 390ª; 413ª;,BELA VISTA,1
5345,CONSOLACAO,"RUA MARQUÊS DE PARANAGUÁ, 111, São Paulo",-23.54936,PUC - FACULDADE DE CIÊNCIAS EXATAS E TECNOLOGIA,-46.650188,Da 252ª à 259ª; 375ª; 383ª; 388ª; 408ª; 426ª; 448ª; 451ª;,BELA VISTA,1
8892,LIBERDADE,"RUA SÃO JOAQUIM, 320, São Paulo",-23.561655,EE PRESIDENTE ROOSEVELT,-46.635506,Da 290ª à 301ª; 362ª; 370ª; 376ª; Da 379ª à 380ª; 382ª; 397ª; 403ª; 414ª; 425ª; 436ª; 444ª; 454ª;,BELA VISTA,1
3396,BARRA FUNDA,"ALAMEDA BARÃO DE LIMEIRA,1379, São Paulo",-23.530251,INSTITUTO EDUCACIONAL BONI CONSILII,-46.65102,Da 76ª à 84ª; 355ª; 365ª;,PERDIZES,2
6070,SANTA CECILIA,"ALAMEDA BARROS, 539, São Paulo",-23.536669,EXTERNATO CASA PIA,-46.656044,Da 173ª à 188ª; 419ª;,PERDIZES,2
2289,CAMPOS ELISEOS,"ALAMEDA CLEVELAND, 331, São Paulo",-23.532471,ESCOLA ESTADUAL JOÃO KOPKE,-46.641659,372ª; 377ª; 409ª; 430ª; 462ª; 484ª; 502ª;,PERDIZES,2
7538,CAMPOS ELISEOS,"ALAMEDA DINO BUENO, 383, São Paulo",-23.53137,LICEU CORAÇÃO DE JESUS,-46.64373,Da 111ª à 135ª; 360ª; 364ª;,PERDIZES,2
6239,AGUA BRANCA,"AV. FRANCISCO MATARAZZO, 364, São Paulo",-23.53005,UNINOVE - UNIVERSIDADE NOVE DE JULHO,-46.666851,Da 85ª à 94ª; 361ª; 439ª; 454ª; 467ª; 486ª; 498ª; 505ª; 517ª; 522ª;,PERDIZES,2
10227,AGUA BRANCA,"AV. FRANCISCO MATARAZZO, 913, São Paulo",-23.527666,COLÉGIO DAS AMÉRICAS,-46.671692,Da 1ª à 27ª; 342ª; 369ª; 435ª;,PERDIZES,2
5903,SANTA CECILIA,"AVENIDA ANGÉLICA, 352, São Paulo",-23.53606,COLÉGIO OSWALDO CRUZ,-46.654221,Da 189ª à 203ª; 450ª;,PERDIZES,2
3814,AGUA BRANCA,"AVENIDA FRANCISCO MATARAZZO, 385, São Paulo",-23.530167,ASSOCIAÇÃO CÍVICA FEMININA,-46.667194,Da 64ª à 69ª; 354ª; Da 356ª à 357ª; 359ª; 367ª; 520ª;,PERDIZES,2
